0ad a26-12
cfr 0.152-2
cfssl 1.6.4-1
cgal 5.6-1
cgasm 1.0.0-4
cgdb 0.8.0-1
cgit 1.2.3-3
cgit-aurweb 1.2.3-3
cgmanager 0.42-2
cgns 4.4.0-1
cgrep 6.6.32-422
chafa 1.14.0-3
charm 0.12.6-1
chatblade 0.3.4-3
check 0.15.2-2
check-jsonschema 0.28.0-1
check-sieve 0.9-1
checkbashisms 2.23.6-1
checksec 2.6.0-1
cheese 44.1-2
cherrytree 1.0.4-1
chewing-editor 0.1.1-10
chezmoi 2.46.1-1
chicken 5.3.0-5
chinese-calendar 1.0.3.r58-3
chmlib 0.40-7
chntpw 140201-4
choose 1.3.4-1
choria-io 0.23.0-1
chromaprint 1.5.1-7
chromium 122.0.6261.57-1
chromium-bsu 0.9.16.1-1
chrono-date 3.0.1-3
chrony 4.5-1
chrootuid 1.3-10
chrpath 0.17-1
chuck 1.5.2.0-1
ciano 0.2.4-5
cifs-utils 7.0-3
cilium-cli 0.15.23-1
cimg 3.2.6-1
cinnamon 6.0.4-1
cinnamon-control-center 6.0.1-1
cinnamon-desktop 6.0.0-1
cinnamon-menus 6.0.0-1
cinnamon-screensaver 6.0.3-1
cinnamon-session 6.0.4-1
cinnamon-settings-daemon 6.0.0-2
cinnamon-translations 6.0.2-1
cjdns 22-1
cjs 6.0.0-1
cjson 1.7.17-1
ckermit 9.0.302-11
cksfv 1.3.15-1
cl-alexandria 1.4.r17.g2f39fbf-2
cl-asdf-flv 2.1-2
cl-babel 0.5.0.r20.gf892d05-2
cl-bordeaux-threads 0.9.3-1
cl-cffi 0.24.1.r23.gac07d76-1
cl-clx 0.7.5.r71.gf5bc0ab-1
cl-fiveam 1.4.2.r12.ge11dee7-2
cl-flexi-streams 1.0.19.r4.g74a1027-1
cl-global-vars 1.0.0.r2.gc749f32-2
cl-hu-dwim-stefil r257.g7a17248-2
cl-json 0.6.0-2
cl-lift 1.7.1.r47.ge08e84e-3
cl-ppcre 2.1.1.r3.gb4056c5-1
cl-rt 1990.12.19.r19.ga6a7503-2
cl-trivial-backtrace 1.1.0.r20.g6eb65bd-1
